id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5
20170028656,0.0,0,4.0,1.0,1.0
20170025190,0.0,3,4.0,0.0,0.0
11410024,0.0,2,0.0,6.0,5.0
20160110116,0.0,4,4.0,4.0,5.0
20170014230,0.0,0,2.0,3.0,0.0
20170027837,0.0,0,0.0,3.0,0.0
20170024512,0.0,0,0.0,0.0,6.0
20170025995,0.0,0,0.0,2.0,0.0
20170040534,0.0,0,2.0,0.0,4.0
20170021412,0.0,6,0.0,0.0,0.0
20160120328,1.0,0,0.0,0.0,0.0
20160127641,0.0,0,6.0,1.0,0.0
20170111402,0.0,0,4.0,2.0,0.0
20170047811,1.0,0,0.0,3.0,3.0
20170028610,1.0,0,3.0,2.0,5.0
20170065874,0.0,0,0.0,0.0,0.0
20170035650,0.0,2,0.0,0.0,0.0
20170066559,0.0,4,0.0,4.0,2.0
20160118867,0.0,0,0.0,3.0,5.0
11411457,,4,3.0,5.0,
20170016010,0.0,0,0.0,0.0,0.0
2016098252,0.0,4,,5.0,5.0
20160116343,0.0,0,0.0,3.0,2.0
20170044551,0.0,0,0.0,0.0,0.0
2016086108,0.0,5,3.0,4.0,4.0
20170023097,0.0,0,0.0,0.0,0.0
20170111304,0.0,0,0.0,2.0,4.0
20160130567,0.0,3,0.0,0.0,0.0
20170027238,0.0,1,0.0,0.0,0.0
20170024577,0.0,3,0.0,0.0,0.0
20170021459,0.0,0,0.0,5.0,3.0
20170079397,0.0,1,0.0,0.0,0.0
20170116230,0.0,2,1.0,4.0,4.0
20170025215,0.0,0,0.0,0.0,0.0
20170033010,0.0,0,0.0,2.0,0.0
20160127481,0.0,0,2.0,,0.0
2016098353,0.0,0,0.0,0.0,0.0
11504565,0.0,0,1.0,4.0,0.0
20170019817,0.0,0,0.0,0.0,0.0
20170061893,0.0,1,0.0,0.0,2.0
20170019352,0.0,0,1.0,0.0,0.0
2016059728,0.0,4,5.0,4.0,4.0
20170019138,0.0,0,0.0,0.0,0.0
20170033790,0.0,0,0.0,0.0,0.0
2016088523,0.0,0,0.0,5.0,5.0
20170042978,0.0,0,0.0,3.0,
20170042735,1.0,0,0.0,1.0,2.0
20160124926,2.0,0,0.0,0.0,0.0
2016001684,0.0,2,2.0,2.0,3.0
20160129744,0.0,0,,3.0,
2016081854,0.0,1,2.0,0.0,3.0
2016067640,0.0,3,2.0,2.0,2.0
